up,timedelta,down
72,232,84
32,262,72
82,1731,32
66,50,82
89,121,66
78,142,89
67,100,78
70,106,67
88,173,70
16,104,88
69,-44,69
32,155,16
191,1509,32
76,84,191
191,328,76
78,183,191
32,205,78
66,209,32
32,211,66
16,2068,32
67,-93,67
8,34,16
84,2197,8
16,1919,84
50,-74,50
82,111,16
66,946,82
89,101,66
76,75,89
67,483,76
84,300,67
188,64,84
74,146,188
67,110,74
16,247,67
50,-50,50
32,22,16
191,553,32
16,-167,191
16,1308,16
50,-80,50
84,57,16
72,639,84
74,91,72
16,270,74
82,-64,82
50,-62,50
32,-12,16
16,148,32
191,-126,191
16,685,16
50,-56,50
76,247,16
89,202,76
74,91,89
65,117,74
32,359,65
81,488,32
83,258,81
89,118,83
72,89,89
70,39,72
78,87,70
66,222,78
89,137,66
70,206,89
86,43,70
69,103,86
85,988,69
16,786,85
50,-43,50
32,46,16
16,57,32
191,-151,191
16,504,16
50,-54,50
8,192,16
16,353,8
49,-97,49
90,821,16
72,45,90
188,161,72
90,94,188
78,129,90
89,175,78
84,105,89
67,140,84
32,215,67
84,869,32
74,41,84
189,288,74
49,157,189
16,839,49
50,-60,50
32,30,16
16,44,32
191,-147,191
16,234,16
50,-85,50
90,326,16
66,144,90
67,49,66
67,87,67
74,168,67
16,222,74
72,-55,72
32,115,16
90,153,32
70,278,90
89,33,70
72,109,89
69,61,72
78,178,69
70,79,78
72,59,70
84,88,72
78,81,84
66,63,78
16,279,66
75,-53,75
8,209,16
16,204,8
76,-36,76
50,-55,50
32,95,16
16,621,32
191,-153,191
16,901,16
50,-24,50
16,8293,16
80,-67,80
46,125,16
70,8183,46
78,171,70
84,98,78
80,109,84
70,140,80
85,106,70
32,106,85
90,59,32
70,223,90
89,44,70
72,155,89
69,42,72
78,135,69
70,73,78
72,83,70
84,297,72
78,106,84
66,136,78
16,1040,66
75,-51,75
50,-64,50
32,455,16
219,2109,32
70,243,219
78,96,70
84,102,78
80,81,84
70,187,80
85,122,70
32,288,85
191,27,32
16,-116,191
16,7338,16
50,-42,50
16,1895,16
69,-63,69
8,204,16
86,2068,8
84,-71,86
16,239,84
219,-107,219
189,466,16
85,1099,189
69,187,85
75,-18,69
69,99,75
16,422,69
50,-53,50
32,58,16
16,16,32
191,-157,191
16,2674,16
75,-50,75
46,189,16
16,2708,46
50,-64,50
70,150,16
188,95,70
84,194,188
88,127,84
69,77,88
32,240,69
90,79,32
70,271,90
89,36,70
72,98,89
69,71,72
78,240,69
70,93,78
72,55,70
84,93,72
78,55,84
66,64,78
75,134,66
16,454,75
50,-55,50
32,53,16
191,39,32
16,-97,191
16,299,16
50,-64,50
77,246,16
72,58,77
66,196,72
188,16,66
66,60,188
16,204,66
67,-73,67
32,111,16
90,1164,32
75,207,90
86,82,75
84,109,86
80,112,84
16,211,80
50,-23,50
32,75,16
191,83,32
16,-134,191
16,1988,16
50,-71,50
77,246,16
78,74,77
67,34,78
74,167,67
89,63,74
16,188,89
190,-94,190
50,-62,50
32,88,16
219,1001,32
70,248,219
75,73,70
70,70,75
89,91,70
72,110,89
69,67,72
186,463,69
16,387,186
32,337,16
16,19,32
191,-169,191
16,5166,16
76,-23,76
8,273,16
16,2604,8
50,-85,50
66,148,16
66,89,66
80,154,66
222,678,80
74,583,222
71,58,74
32,228,71
77,42,32
89,61,77
84,103,89
76,74,84
16,198,76
50,-98,50
32,22,16
191,545,32
16,-165,191
16,1871,16
50,-102,50
66,333,16
82,58,66
74,119,82
78,87,74
67,134,78
16,1968,67
66,-54,66
50,-47,50
32,204,16
219,160,32
70,1017,219
219,46,70
70,186,219
89,65,70
70,97,89
86,-54,70
77,102,86
75,77,77
70,142,75
32,1172,70
16,-50,32
191,-116,191
16,536,16
50,-79,50
70,318,16
72,107,70
188,207,72
66,126,188
75,642,66
72,1025,75
84,202,72
68,217,84
32,671,68
74,1163,32
85,100,74
74,92,85
82,74,74
67,230,82
67,79,67
69,164,67
72,498,69
32,540,72
66,2172,32
66,81,66
85,202,66
74,128,85
75,85,74
74,1431,75
78,160,74
89,137,78
16,194,89
70,-64,70
50,-52,50
32,325,16
68,156,32
32,684,68
90,190,32
67,10,90
75,224,67
70,47,75
78,13,70
70,84,78
88,154,70
84,277,88
16,91,84
71,-52,71
32,40,16
191,87,32
16,770,191
48,-68,48
52,679,16
48,95,52
48,65,48
50,233,48
8,547,50
52,365,8
16,661,52
57,-66,57
32,96,16
16,157,32
50,-89,50
83,116,16
186,194,83
70,185,186
76,90,70
32,688,76
82,207,32
69,131,82
186,134,69
16,1238,186
74,-51,74
50,-103,50
32,109,16
81,1042,32
66,348,81
73,76,66
66,135,73
78,96,66
67,64,78
219,195,67
84,285,219
72,174,84
78,117,72
32,668,78
219,365,32
66,344,219
82,86,66
67,322,82
89,220,67
66,149,89
68,140,66
69,329,68
78,165,69
32,472,78
190,1240,32
66,377,190
85,90,66
74,116,85
75,88,74
74,165,75
78,80,74
89,89,78
70,182,89
32,811,70
75,1194,32
66,129,75
68,25,66
70,114,68
78,47,70
67,75,78
74,50,67
67,93,74
32,306,67
78,607,32
66,159,78
186,10,66
66,62,186
16,234,66
86,-73,86
32,63,16
191,868,32
16,211,191
75,-55,75
32,155,16
67,100,32
32,2141,67
84,238,32
8,2694,84
84,610,8
68,274,84
78,81,68
67,51,78
72,104,67
74,101,72
78,138,74
68,112,78
70,131,68
74,187,70
67,123,74
32,179,67
16,81,32
68,-66,68
32,84,16
191,1676,32
84,167,191
72,119,84
69,38,72
78,171,69
70,120,78
72,112,70
84,77,72
78,83,84
66,135,78
75,165,66
32,52,75
74,92,32
71,42,74
32,91,71
78,137,32
74,120,78
188,171,74
70,75,188
72,108,70
32,114,72
219,114,32
83,287,219
89,131,83
88,126,89
69,268,88
70,393,69
89,45,70
32,55,89
72,45,32
74,76,72
78,91,74
68,65,78
16,119,68
70,-62,70
32,81,16
191,339,32
66,755,191
82,140,66
83,316,82
80,178,83
90,194,80
32,125,90
81,72,32
66,148,81
82,102,66
67,95,82
81,153,67
66,134,81
75,152,66
85,97,75
89,76,85
70,211,89
32,799,70
66,133,32
32,105,66
81,58,32
66,108,81
82,94,66
67,74,82
67,96,67
69,225,67
72,95,69
32,87,72
70,87,32
89,120,70
32,589,89
74,345,32
89,57,74
84,116,89
76,51,84
84,113,76
68,169,84
84,301,68
72,-27,84
84,85,72
71,-37,84
32,289,71
74,564,32
68,93,74
78,20,68
67,89,78
84,152,67
88,198,84
72,144,88
74,112,72
68,35,74
78,149,68
32,60,78
74,58,32
85,88,74
16,256,85
84,-51,84
32,19,16
191,1061,32
72,136,191
76,129,72
32,61,76
66,103,32
32,171,66
70,781,32
89,117,70
66,113,89
82,60,66
73,137,82
69,157,73
16,252,69
71,-59,71
191,914,16
16,122,191
70,-69,70
32,128,16
191,21,32
16,-145,191
74,1155,16
85,102,74
74,79,85
82,78,74
67,420,82
68,147,67
74,101,68
72,110,74
78,118,72
67,86,78
16,244,67
74,-56,74
32,60,16
191,108,32
16,141,191
70,-33,70
32,1070,16
191,36,32
16,-146,191
70,1162,16
72,141,70
66,66,72
71,83,66
67,110,71
82,124,67
84,100,82
16,300,84
73,-52,73
191,387,16
16,163,191
68,-64,68
32,114,16
90,995,32
66,183,90
89,92,66
84,110,89
76,10,84
84,111,76
68,216,84
80,166,68
66,228,80
74,108,66
72,84,74
71,140,72
32,161,71
66,91,32
32,161,66
32,5568,32
16,232,32
50,-77,50
76,215,16
70,139,76
67,116,70
32,79,67
81,119,32
83,239,81
68,-56,83
8,795,68
8,79,8
68,571,8
70,-60,68
8,392,70
83,325,8
84,470,83
89,124,84
73,136,89
66,411,73
16,329,66
68,-66,68
50,-41,50
32,80,16
70,584,32
68,141,70
74,136,68
219,195,74
84,133,219
16,458,84
88,-95,88
32,53,16
191,149,32
16,113,191
70,-67,70
32,141,16
69,505,32
67,269,69
84,326,67
77,233,84
71,205,77
32,207,71
82,98,32
83,191,82
80,216,83
90,183,80
32,891,90
81,266,32
66,291,81
82,103,66
67,151,82
89,62,67
66,202,89
68,57,66
69,127,68
78,233,69
32,1068,78
70,17,32
89,39,70
32,146,89
75,26,32
84,104,75
68,163,84
84,449,68
72,13,84
84,-31,72
16,172,84
71,-42,71
32,294,16
191,1144,32
66,81,191
66,113,66
85,124,66
72,110,85
69,90,72
78,119,69
70,98,78
86,-27,70
70,106,86
72,93,70
76,171,72
32,544,76
81,171,32
74,429,81
82,90,74
67,439,82
89,194,67
66,143,89
68,71,66
69,114,68
78,146,69
32,232,78
81,149,32
74,990,81
89,110,74
89,86,89
84,162,89
86,90,84
84,100,86
72,80,84
68,97,72
74,126,68
67,61,74
32,88,67
90,45,32
66,138,90
89,117,66
84,119,89
76,25,84
84,134,76
68,239,84
80,138,68
66,106,80
74,115,66
72,101,74
71,23,72
32,3840,71
84,270,32
83,745,84
89,78,83
77,235,89
75,112,77
84,37,75
78,66,84
66,101,78
88,63,66
70,202,88
89,85,70
80,201,89
32,547,80
189,101,32
32,103,189
83,799,32
67,25,83
8,127,67
86,381,8
84,166,86
77,47,84
71,122,77
32,1537,71
74,349,32
85,114,74
16,264,85
