timedelta,down,up
492456,84,72
492489,72,70
492576,78,88
492656,74,66
492720,71,72
492248,32,16
-1680,81,188
-1704,66,84
-1776,89,72
-1832,84,78
-1784,73,74
-1784,84,71
-1127,72,32
-1128,32,81
-1071,90,66
-1096,66,89
-1064,78,84
-1104,90,73
-1096,89,84
-1136,66,72
-1144,72,32
-1160,71,90
-2480,32,66
-2568,191,78
-2592,16,90
-2600,8,89
-4720,32,66
-4609,81,72
-4672,66,71
-3352,89,32
-3272,84,16
-3375,76,191
-3256,186,8
-1352,84,32
-1368,188,81
-1703,69,66
-1536,76,89
-1568,84,84
-1584,71,76
-1520,72,186
-1304,32,84
-1280,90,188
-1104,66,69
-1127,89,76
-1184,70,84
-1128,80,71
-1176,70,72
-1160,82,32
-1256,67,90
-2599,76,66
-2743,84,89
-2648,72,70
-2679,71,80
-6008,32,70
-5888,70,82
-5777,89,67
-4512,32,76
-4416,70,84
-4416,89,72
-4464,89,71
-1064,84,32
-1120,75,70
-1120,68,89
-1136,70,32
-960,72,70
-952,71,89
-1008,70,89
-1024,89,84
-1583,32,75
-1632,77,68
-2632,8,70
-2689,8,72
-2728,8,71
-2705,8,70
-2713,8,89
-2225,8,32
-2192,8,77
-1522,70,8
-1448,72,8
-1400,71,8
-1896,70,8
-1864,89,8
-1880,32,8
-1799,66,8
-1480,75,70
-1488,84,72
-1536,76,71
-1080,74,70
-1056,86,89
-1312,16,32
-1424,32,66
-2480,191,75
-3055,219,84
-3112,189,76
-3880,48,74
-3896,56,86
-4024,57,16
-4759,49,32
-3880,32,191
-3249,68,219
-3224,32,189
-3352,74,48
-3311,71,56
-3759,8,57
-3064,8,49
-2944,8,32
-3488,32,68
-3455,74,32
-2591,75,74
-2639,75,71
-2280,66,8
-1759,88,8
-1953,70,8
-1488,82,32
-1545,16,74
-3360,32,75
-3319,86,75
-3185,74,66
-3233,89,88
-3111,74,70
-3135,8,82
-3256,8,16
-1247,8,32
-1295,8,86
-2200,74,74
-2231,89,89
-2681,74,74
-2607,89,8
-2711,186,8
-3231,76,8
-3215,16,8
-2304,32,74
-2273,67,89
-5960,32,74
-5944,74,89
-5855,89,186
-5383,78,76
-5463,67,16
-5432,84,32
-5481,86,67
-1752,68,32
-1775,74,74
-1815,67,89
-1832,32,78
-1848,66,67
-1768,78,84
-1720,78,86
-1264,84,68
-1264,71,74
-1408,16,67
-2167,32,32
-2192,81,66
-2176,74,78
-2192,89,78
-2184,89,84
-2255,70,71
-2360,78,16
-1224,74,32
-1200,188,81
-1208,70,74
-1208,72,89
-1392,80,89
-1287,70,70
-1312,72,78
-1296,32,74
-1344,191,188
-1296,16,70
-1672,66,72
-1511,66,80
-1480,87,70
-1536,70,72
-1552,86,32
-1552,72,16
-1671,74,191
-1024,65,66
-1088,89,66
-1144,66,87
-1720,32,70
-1720,66,86
-1736,8,72
-2088,70,74
-2184,82,65
-2296,78,89
-2400,74,66
-1736,188,32
-1664,70,66
-1712,72,8
-1456,74,70
-1432,72,82
-1192,71,78
-1143,32,74
-1208,81,188
-1136,74,70
-1152,89,72
-1120,77,74
-1112,75,72
-1120,84,71
-1072,78,32
-1104,70,81
-1136,79,74
-1376,78,89
-3216,32,77
-3152,66,75
-3176,78,84
-3160,67,78
-3160,74,70
-3168,89,79
-2928,78,78
-1000,90,32
-1160,74,66
-1200,72,78
-1176,84,67
-1280,68,74
-1184,8,89
-1320,70,78
-2104,16,90
-2656,32,74
-2632,190,72
-2728,77,84
-2696,75,68
-2784,84,8
-2576,76,70
-2320,74,16
-1840,8,32
-1859,8,190
-2128,84,77
-2088,76,75
-2160,8,84
-2232,8,76
-1959,8,74
-1760,84,8
-1776,186,8
-1512,74,84
-1520,86,76
-1400,16,8
-1264,8,8
-1240,8,8
-1512,74,84
-1488,76,186
-1360,16,74
-4536,32,16
-4648,81,86
-4608,74,8
-4528,82,8
-4136,67,74
-4240,84,76
-4440,88,16
-1392,66,32
-1416,67,81
-1432,67,74
-1504,70,82
-1440,75,67
-1353,82,84
-1296,32,88
-1120,81,66
-1200,84,67
-1144,73,67
-1584,68,70
-1697,70,75
-1680,78,82
-1656,67,32
-2776,32,81
-2648,67,84
-2776,32,73
-2288,84,68
-2232,186,70
-2264,69,78
-2848,32,67
-1697,70,32
-1712,89,67
-1633,70,32
-1641,80,84
-2361,90,186
-2490,68,69
-2041,67,32
-3129,32,70
-3153,78,89
-3153,74,70
-3144,188,80
-2376,70,90
-2200,72,68
-2360,32,67
-1248,74,32
-1224,85,78
-1160,84,74
-1344,32,188
-1240,77,70
-1296,78,72
-1128,67,32
-1280,70,74
-1320,88,85
-1376,32,84
-1288,90,32
-1440,70,77
-1320,89,78
-1272,89,67
-1160,84,70
-1128,68,88
-1072,78,32
-1032,67,90
-1040,84,70
-1096,79,89
-1144,69,89
-1248,67,84
-1416,16,68
-1608,13,78
-1736,8,67
-1888,32,84
-2392,191,79
-2328,68,69
-2272,74,67
-2392,76,16
-1896,66,13
-1864,68,8
-1752,66,32
-1288,76,191
-1528,89,68
-1520,66,74
-4664,32,76
-4720,66,66
-4696,66,68
-4584,89,66
-4616,84,76
-4288,76,89
-4368,84,66
-1320,68,32
-1424,74,66
-1368,71,66
-1792,32,89
-1744,66,84
-2576,32,76
-2528,219,84
-2528,70,68
-2392,82,74
-2432,68,71
-1976,74,32
-1976,89,66
-1264,70,32
-1216,78,219
-1088,67,70
-1144,69,82
-1080,32,68
-1080,68,74
-2408,32,89
-2304,90,70
-2488,66,78
-2560,89,67
-2448,84,69
-2488,89,32
-2456,84,68
-1144,86,32
-1217,80,90
-1136,66,66
-3416,32,89
-3424,84,84
-3504,66,89
-3536,79,84
-3583,190,86
-3639,90,80
-3680,75,66
-1360,84,32
-1344,76,84
-1936,84,66
-1912,72,79
-1848,71,190
-1752,74,90
-1680,8,75
-1695,8,84
-2152,8,76
-1520,8,84
-2264,84,72
-2200,75,71
-2248,74,74
-2192,71,8
-2288,32,8
-1865,191,8
-1840,16,8
-1144,8,84
-1392,32,75
-1352,83,74
-1376,72,71
-1296,74,32
-1352,78,191
-1408,82,16
-1272,70,8
-1176,65,32
-1960,32,83
-1968,84,72
-2096,83,74
-2097,89,78
-2128,89,82
-2184,74,70
-2112,66,65
-1320,87,32
-1472,66,84
-2304,80,83
-2520,74,89
-2511,71,89
-2559,67,74
-2617,66,66
-2712,76,87
-3744,32,66
-2784,66,80
-4432,32,74
-4408,84,71
-4448,83,67
-4488,89,66
-4408,89,76
-3264,74,32
-3463,66,66
-1584,87,32
-1712,70,84
-1720,69,83
-1552,78,89
-1576,66,89
-1863,8,74
-1744,8,66
-1736,8,87
-1624,8,70
-1560,8,69
-1616,8,78
-2888,89,66
-2577,74,8
-2608,66,8
-2560,87,8
-2744,70,8
-2672,78,8
-2656,67,8
-1296,32,89
-1264,78,74
-1185,84,66
-1247,70,87
-1113,88,70
-1296,69,78
-1375,80,67
-1377,66,32
-2153,32,78
-2136,66,84
-2113,78,70
-2040,78,88
-1936,84,69
-1872,71,80
-1943,16,66
-4865,13,32
-5055,191,66
-5367,81,78
-5351,66,78
-5391,89,84
-5345,70,71
-5464,68,16
-1591,74,13
-1416,76,191
-1384,84,81
-1424,75,66
-1391,67,89
-1455,67,70
-1431,66,68
-1944,32,74
-1903,66,76
-1559,78,84
-1511,67,75
-1544,70,67
-1497,75,67
-1496,188,66
-1032,74,32
-1088,16,66
-1512,13,78
-1632,13,67
-2807,191,70
-2864,70,75
-2961,76,188
-2999,74,16
-3168,85,74
-2777,32,13
-2767,56,13
-1568,48,191
-1560,48,70
-1497,50,76
-1640,32,74
-1551,67,85
-2024,32,32
-1816,66,56
-1880,32,48
-2176,50,48
-2527,48,50
-2359,48,32
-2423,50,67
-1975,189,32
-2216,56,66
-2168,57,32
-1849,57,50
-1480,49,48
-1896,32,48
-1944,68,50
-2320,32,189
-2424,74,56
-2464,81,57
-2664,70,57
-2608,85,49
-2184,74,32
-2168,16,68
-1688,32,32
-1264,70,74
-1176,78,81
-952,70,70
-960,78,85
-1048,73,16
-2616,32,74
-2464,70,32
-3856,78,70
-3856,84,78
-3896,78,70
-3951,66,78
-3880,67,73
-2496,72,32
-2456,84,70
-1160,68,78
-1216,66,84
-1154,89,78
-1368,69,66
-1447,16,67
-1952,32,72
-1944,66,84
-1896,66,68
-1895,85,66
-1846,74,89
-1728,75,69
-1887,74,16
-1272,219,32
-1264,66,66
-1304,67,66
-1456,71,85
-2936,32,74
-2920,81,75
-2952,74,74
-2840,72,219
-2872,76,66
-2760,84,67
-2752,65,71
-1384,70,32
-1440,82,81
-1984,32,74
-2504,8,72
-3136,32,76
-3168,81,84
-3272,66,65
-3120,79,70
-3208,190,82
-2864,69,32
-2448,76,8
-1680,84,32
-1744,68,81
-1600,70,66
-1648,80,79
-1816,16,190
-1704,32,69
-1856,191,76
-2976,74,84
-2880,81,68
-2904,70,70
-2848,85,80
-2968,74,16
-2424,16,32
-2488,32,191
-1288,70,74
-1240,78,81
-1136,70,70
-1128,78,85
-1168,73,74
-2872,32,16
-2576,70,32
-2480,8,70
-2856,84,78
-2840,78,70
-2872,84,78
-2775,78,73
-1424,66,32
-1496,67,70
-1592,72,8
-1224,84,84
-1368,68,78
-1352,66,84
-1424,89,78
-1296,69,66
-1232,16,67
-1983,32,72
-1968,86,84
-1880,74,68
-1936,72,66
-1920,74,89
-1840,67,69
-1960,67,16
-1168,84,32
-1312,65,86
-1648,74,74
-1663,72,72
-1648,71,74
-2680,32,67
-2640,86,67
-2648,83,84
-2520,89,65
-2136,89,74
-2144,84,72
-2160,186,71
-1328,69,32
-1312,75,86
-1184,67,83
-1231,70,89
-1240,80,89
-2704,32,84
-2760,89,186
-2657,70,69
-2672,68,75
-2784,80,67
-2760,70,70
-2713,89,80
-1384,32,32
-1256,69,89
-1208,76,70
-1216,74,68
-1184,85,80
-1968,32,70
-2008,56,89
-1960,57,32
-1960,57,69
-3264,49,76
-3312,32,74
-3272,68,85
-2504,16,32
-2457,32,56
-2432,191,57
-2504,8,57
-1904,32,49
-1800,84,32
-1728,78,68
-1832,84,16
-1648,78,32
-1672,66,191
-1552,67,8
-1000,72,32
-1039,84,84
-1449,68,78
-1440,66,84
-1544,89,78
-1512,69,66
-2160,32,67
-2081,86,72
-2009,74,84
-1671,82,68
-1760,67,66
-3336,89,89
-3391,74,69
-2696,78,32
-2767,67,86
-3352,89,74
-5745,66,82
-5720,72,67
-4073,71,89
-4105,16,74
-4512,32,78
-4472,68,67
-3873,8,89
-1680,32,66
-2384,32,72
-2360,86,71
-2487,74,16
-1872,72,32
-1920,74,68
-1900,67,8
-1752,67,32
-1105,84,32
-1271,65,86
-1593,74,74
-1608,72,72
-1593,71,74
-2242,32,67
-2301,86,67
-2201,83,84
-2017,89,65
-1658,89,74
-1745,192,72
-2825,73,71
-2296,70,32
-2336,75,86
-2280,85,83
-2400,66,89
-2416,72,89
-2360,71,192
-2336,32,73
-2320,75,70
-2312,83,75
-2232,188,85
-2154,32,66
-2128,69,72
-2064,76,71
-1160,74,32
-1200,85,75
-1776,32,83
-1776,53,188
-1815,53,32
-2454,57,69
-2544,49,76
-2552,32,74
-2583,68,85
-1984,16,32
-2032,32,53
-2000,190,53
-3352,66,57
-4232,66,49
-4096,85,32
-4072,74,68
-4184,75,16
-4048,74,32
-4104,219,190
-2096,66,66
-1160,67,66
-1432,71,85
-1496,32,74
-1473,81,75
-1448,74,74
-1384,89,219
-1480,77,66
-1438,75,67
-1240,70,71
-1176,66,32
-1200,87,81
-1248,74,74
-1184,67,89
-1408,32,77
-1329,74,75
-1312,71,70
-2467,32,66
-2632,83,87
-2607,86,74
-2608,86,67
-2392,70,32
-2432,72,74
-2448,85,71
-1382,74,32
-1320,72,83
-1280,71,86
-1279,32,86
-1248,81,70
