timedelta,key
143,222
88,222
152,222
145,222
104,222
80,222
120,222
127,221
120,221
144,221
144,219
119,219
128,219
152,219
95,219
112,219
104,219
96,219
112,219
103,219
151,219
87,219
112,219
87,219
105,219
85,191
64,191
128,191
128,191
88,191
105,191
128,191
127,191
128,191
144,191
96,191
113,191
135,191
120,191
104,191
89,191
112,191
112,191
96,191
96,191
121,191
97,191
120,191
96,191
112,191
95,191
120,191
120,190
104,190
128,190
143,189
112,189
144,189
159,189
128,189
136,189
88,189
127,189
96,188
144,188
88,188
128,188
160,188
112,188
104,188
104,186
96,186
136,186
64,186
135,186
112,186
95,186
24,186
128,186
175,186
136,90
96,90
113,90
112,90
128,90
104,90
135,90
114,90
119,90
120,90
112,90
112,90
137,90
88,90
104,90
112,90
88,90
120,90
113,90
144,90
104,90
119,90
136,90
112,90
152,90
137,90
96,90
127,90
80,90
137,90
127,90
128,89
103,89
96,89
128,89
71,89
104,89
72,89
72,89
143,89
112,89
72,89
111,89
136,89
72,89
97,89
96,89
55,89
80,89
104,89
136,89
71,89
119,89
80,89
96,89
78,89
87,89
56,89
88,89
104,89
88,89
96,89
112,89
120,89
56,89
72,89
79,89
64,89
96,89
98,89
64,89
56,89
128,89
64,89
23,89
48,89
80,89
48,89
47,89
96,89
81,89
104,89
80,89
64,89
87,89
40,89
112,89
136,89
72,89
72,89
79,89
103,89
63,89
72,89
104,89
151,89
120,89
136,89
81,89
39,89
72,89
48,89
72,89
104,89
96,89
88,89
88,89
72,89
80,89
79,89
88,89
80,89
144,88
136,88
144,88
65,88
127,88
72,87
96,87
152,87
104,87
88,87
88,87
64,87
88,87
88,87
142,86
31,86
144,86
105,86
88,86
168,86
111,86
146,86
150,86
64,86
96,86
63,86
104,86
120,86
144,86
128,86
79,86
64,86
72,86
144,86
185,86
81,86
80,86
88,86
72,86
135,86
128,86
127,86
127,86
104,86
128,85
136,85
128,85
120,85
143,85
152,85
105,85
136,85
135,85
177,85
95,85
200,85
71,85
104,85
144,85
144,85
144,85
152,85
97,85
80,85
103,85
160,85
39,85
160,85
119,85
160,85
128,85
112,85
56,84
72,84
80,84
104,84
112,84
119,84
88,84
97,84
162,84
96,84
112,84
96,84
88,84
120,84
111,84
128,84
128,84
80,84
119,84
135,84
153,84
96,84
96,84
54,84
88,84
65,84
79,84
136,84
72,84
96,84
104,84
73,84
88,84
64,84
96,84
71,84
71,84
65,84
63,84
88,84
136,84
104,84
128,84
151,84
88,84
96,84
73,84
72,84
80,84
112,84
120,84
88,84
120,84
71,84
104,84
112,84
79,84
63,84
120,84
64,84
95,84
112,84
88,84
72,84
72,84
72,84
80,84
88,84
111,84
79,84
144,83
80,83
120,83
120,83
96,83
88,83
95,83
113,83
111,83
103,83
128,83
97,83
97,83
120,83
192,83
119,83
129,83
119,83
104,83
144,83
128,83
120,83
81,83
88,83
136,83
128,83
112,83
142,82
128,82
103,82
127,82
144,82
111,82
112,82
128,82
112,82
104,82
97,82
106,82
159,82
111,82
143,82
104,82
87,82
104,82
137,82
119,82
48,82
121,82
88,82
136,82
64,82
128,82
55,82
104,82
103,82
87,82
87,82
95,82
151,81
104,81
136,81
112,81
119,81
119,81
119,81
121,81
96,81
113,81
111,81
128,80
88,80
127,80
105,80
128,80
96,80
80,80
97,80
112,80
136,80
81,80
111,80
128,80
119,80
97,80
104,80
87,80
80,80
72,80
120,80
96,80
80,80
87,80
63,80
104,80
79,80
89,80
72,78
95,78
88,78
121,78
88,78
136,78
168,78
