down,up,timedelta
189,8,-439
189,189,-183
37,189,-1720
222,37,-406
222,16,-334
16,222,-441
13,222,-831
13,13,-423
190,13,-5059
66,190,-383
66,66,-487
85,66,-207
72,85,-255
84,72,-254
89,84,-135
222,89,-279
32,222,-239
81,32,-8779
74,81,-223
68,74,-183
229,68,-1032
229,84,-322
229,49,-247
229,8,743
84,84,913
8,73,688
84,84,162
73,76,153
84,32,217
76,66,755
32,79,641
66,74,289
79,86,257
74,74,242
86,71,273
74,32,131
71,66,81
32,72,145
66,71,305
72,32,297
71,70,713
32,89,641
70,74,233
89,66,289
74,85,249
66,84,194
85,72,137
84,32,306
72,90,760
32,66,649
90,78,241
66,66,489
78,68,505
66,80,281
68,70,257
80,72,130
70,32,1321
72,74,1321
32,85,177
74,74,273
85,89,201
74,77,177
89,75,57
77,70,90
75,66,145
70,72,219
66,78,201
72,67,152
78,69,234
67,76,233
69,89,321
76,66,329
89,32,353
66,84,1145
32,66,945
84,89,201
66,84,137
89,88,241
84,84,441
88,71,376
84,67,457
71,84,505
67,188,305
84,74,265
188,32,328
74,74,185
32,75,-24
74,83,56
75,188,154
83,32,680
188,190,593
32,77,416
190,75,408
77,84,97
75,87,232
84,32,206
87,74,74
32,85,224
74,84,264
85,16,122
84,32,793
16,190,1032
32,8,601
190,32,1080
8,66,1033
32,78,402
66,67,130
78,74,121
67,89,186
74,68,208
89,66,139
68,78,153
66,82,137
78,84,217
82,65,305
84,65,280
65,222,513
65,32,1145
222,81,777
32,74,200
81,82,209
74,67,170
82,84,241
67,88,290
84,66,232
88,86,209
66,74,210
86,89,209
74,74,265
89,82,185
74,222,571
82,32,721
222,80,1369
32,66,1377
80,75,241
66,70,233
75,89,226
70,70,353
89,32,570
70,66,353
32,32,186
66,70,225
32,75,169
70,8,241
75,70,401
8,76,345
70,80,255
76,69,289
80,74,260
69,72,280
74,76,232
72,66,185
76,85,161
66,32,313
85,70,1553
32,68,1369
70,78,185
68,67,273
78,77,265
67,75,81
77,84,66
75,78,104
84,66,137
78,74,109
66,72,193
74,78,225
72,67,129
78,32,393
67,66,385
32,78,177
66,82,296
78,67,273
82,74,161
67,86,209
74,66,689
86,68,737
66,78,258
68,67,169
78,84,281
67,79,345
84,69,345
79,67,369
69,8,161
67,88,385
8,74,777
88,32,970
74,81,681
32,74,266
81,82,202
74,67,136
82,84,233
67,88,344
84,66,161
88,89,145
66,219,201
89,84,168
219,78,129
84,32,210
78,190,217
32,16,59
188,8,249
16,32,784
8,66,768
32,85,297
66,75,353
85,74,466
75,68,232
74,16,49
68,32,168
16,70,192
32,75,136
70,70,145
75,66,201
70,87,186
66,89,273
87,84,337
89,78,200
84,74,161
78,71,169
74,32,296
71,74,233
32,85,205
74,74,241
85,82,185
74,67,122
82,84,224
67,88,370
84,66,297
88,78,218
66,84,266
78,85,257
84,72,217
85,84,273
72,89,201
84,222,320
89,32,848
222,84,680
32,66,201
84,89,199
66,84,178
89,88,218
84,69,354
88,80,545
69,66,801
80,32,936
66,75,514
32,66,185
75,68,161
66,8,154
68,83,497
8,70,545
83,78,202
70,67,104
78,32,90
67,89,41
32,74,161
89,32,1000
74,81,1057
32,84,257
81,88,225
84,8,185
88,87,608
8,70,762
87,76,450
70,70,400
76,80,241
70,32,175
80,81,192
32,84,305
81,74,248
84,68,145
74,67,242
68,32,377
67,81,305
32,74,193
81,89,665
74,76,833
89,84,353
76,72,121
84,84,121
72,88,233
84,74,289
88,74,1377
74,68,1321
74,72,136
68,84,145
72,16,194
84,71,120
71,32,729
16,190,1096
32,66,2905
190,82,2457
66,69,249
82,75,345
69,16,129
75,32,225
16,81,529
32,74,569
81,82,297
74,67,123
82,72,65
67,70,121
72,86,177
70,70,249
86,67,297
70,16,137
67,32,513
16,69,735
32,8,1025
69,8,841
8,16,369
8,32,545
16,67,264
32,32,369
67,84,1240
32,85,1036
84,75,398
85,74,443
75,68,169
74,16,73
68,32,176
16,70,280
32,89,113
70,32,200
89,84,7624
32,75,7672
84,8,1121
75,222,6705
8,8,6081
222,66,3473
8,66,3289
66,87,113
66,89,185
87,70,257
89,78,201
70,67,130
78,74,153
67,72,193
74,78,193
72,82,90
78,84,193
82,75,241
84,8,634
75,186,1201
8,74,1073
186,72,569
74,76,265
72,66,257
76,85,433
66,32,577
85,70,1273
32,68,1041
70,78,153
68,67,154
78,77,185
67,75,65
77,84,81
75,78,105
84,66,144
78,74,137
66,72,177
74,78,225
72,67,184
78,8,135
67,71,331
8,32,401
71,69,545
32,8,521
69,32,514
8,78,680
32,82,433
78,84,297
82,74,192
84,72,177
74,71,121
72,32,138
71,74,96
32,71,64
74,32,498
71,69,560
32,78,329
69,74,287
78,188,89
74,70,104
188,72,113
70,32,89
72,75,89
32,70,106
75,88,98
70,70,240
88,89,210
70,32,322
89,81,480
32,66,281
81,82,353
66,67,329
82,89,345
67,84,362
89,75,232
84,68,208
75,90,217
68,74,393
90,85,344
74,74,320
85,16,353
74,188,192
188,32,704
16,69,399
32,76,201
69,74,320
76,85,305
74,32,442
85,57,976
32,49,849
57,57,1192
49,49,1338
57,16,1081
49,68,801
68,13,6689
16,190,7231
13,16,2577
190,72,2081
72,67,329
67,65,297
65,67,226
67,72,89
72,32,657
16,16,648
32,82,385
82,69,97
69,32,1081
16,39,1248
32,8,482
39,37,546
8,37,409
37,32,473
37,39,578
32,32,826
39,77,583
32,78,185
77,67,296
78,74,256
67,89,154
74,75,144
89,77,65
77,84,81
75,78,120
84,90,145
78,84,288
90,76,226
84,32,145
76,90,129
32,70,185
90,89,233
70,89,176
89,74,258
89,66,361
74,87,217
66,70,216
87,80,336
70,66,665
80,89,549
66,70,193
89,85,249
70,72,458
85,74,720
72,32,536
74,81,298
32,70,137
81,89,265
70,74,616
89,8,888
74,8,569
8,74,440
8,90,624
74,66,505
90,87,1305
66,190,1754
87,75,872
190,74,481
75,68,258
74,84,241
68,72,377
84,72,457
72,78,625
72,8,497
78,84,817
8,89,817
84,74,329
89,82,217
74,37,409
82,16,921
37,48,577
48,57,80
57,32,569
16,49,1368
32,49,1146
49,189,1073
49,56,1433
189,53,505
56,32,553
53,66,633
32,32,825
66,39,921
32,90,1337
39,66,1249
90,87,201
66,70,330
87,78,313
70,66,153
78,85,161
66,70,201
85,32,273
70,66,241
32,75,153
66,66,329
75,32,457
66,70,377
32,76,297
70,89,265
76,70,289
89,85,153
70,70,128
85,71,241
70,74,321
71,72,302
74,71,113
72,32,529
71,90,705
32,70,256
90,89,177
70,89,194
89,74,265
89,66,337
74,87,193
66,190,344
87,75,529
190,74,337
75,68,152
74,84,294
68,72,385
84,72,642
72,78,723
72,89,569
78,74,593
89,82,345
74,37,457
82,16,904
37,48,553
48,57,97
57,32,697
16,48,1336
32,49,954
48,189,465
49,8,681
189,48,1081
8,56,1122
48,53,322
56,32,841
53,190,1394
32,16,568
188,39,397
16,186,2519
39,70,2425
186,89,169
70,74,177
89,66,209
74,71,241
66,73,481
71,37,833
73,16,1210
37,48,688
48,57,81
57,32,274
16,54,767
32,189,2945
54,56,2689
189,53,432
56,32,1041
53,86,1545
32,90,769
86,77,344
90,78,257
77,70,185
78,78,161
70,67,145
78,32,129
67,74,65
32,71,97
74,32,225
71,69,673
32,75,585
69,84,257
75,72,169
84,78,209
72,67,217
78,67,193
67,70,273
67,72,201
70,32,169
72,82,185
32,32,585
82,89,833
32,84,505
89,72,209
84,74,209
72,68,177
74,74,109
68,85,201
74,66,242
85,72,521
66,71,393
72,32,193
71,16,1193
32,74,1105
74,68,352
68,66,473
16,72,456
66,16,897
72,71,857
71,32,1185
16,86,1063
32,74,225
86,75,169
74,70,161
75,89,169
70,69,217
89,188,257
69,66,210
188,72,184
66,78,209
72,32,425
78,86,417
32,83,256
86,89,312
83,89,233
89,84,152
89,74,161
84,68,456
74,32,584
68,70,304
32,76,137
70,74,73
76,85,160
74,32,297
85,55,561
32,8,1328
55,57,3881
8,51,3161
57,57,657
51,49,1065
57,32,1713
49,70,1738
32,78,912
70,67,242
78,69,280
67,85,236
69,68,226
85,70,353
68,32,156
70,57,57
32,32,362
57,190,465
32,16,105
188,70,161
16,76,208
70,74,184
76,85,202
74,32,297
85,54,1425
32,51,1450
54,57,881
51,8,1145
57,8,649
8,8,209
8,54,817
8,51,1066
54,48,1113
51,49,873
48,32,1521
49,90,1457
32,72,466
90,188,401
72,70,233
188,82,234
70,84,337
82,76,161
84,32,137
76,49,169
32,51,145
49,32,833
51,16,1513
32,76,881
76,68,161
68,82,225
82,89,105
89,32,345
16,8,480
32,16,545
8,89,464
89,89,8154
16,70,7976
89,68,167
70,74,105
68,78,152
74,67,129
78,84,226
67,72,313
84,70,232
72,32,745
70,75,712
32,83,219
75,188,460
83,16,273
188,13,609
16,190,45945
13,70,46646
190,68,1361
70,78,128
68,67,169
78,81,321
67,90,569
81,80,569
90,74,352
80,219,218
74,32,288
219,74,257
32,85,168
74,74,832
85,89,921
74,8,593
89,8,786
8,8,577
8,8,297
8,85,466
8,82,489
85,74,136
74,67,33
82,76,88
67,74,89
76,72,168
74,70,210
72,89,128
70,32,441
89,70,657
32,78,305
70,84,185
78,68,305
84,74,329
68,67,240
74,32,2088
67,74,2041
32,85,161
74,74,249
85,82,153
74,67,193
82,89,242
67,8,281
89,67,681
8,72,665
67,84,321
72,188,305
84,69,290
188,85,265
69,32,337
85,74,993
32,82,801
74,67,112
82,72,81
67,70,137
72,86,194
70,70,289
86,16,273
70,67,105
67,32,217
16,70,1080
32,75,969
70,84,153
75,76,185
84,78,409
76,74,441
78,32,353
74,74,177
32,85,169
74,74,217
85,82,128
74,67,129
82,84,257
67,88,305
84,66,137
88,89,121
66,219,217
89,84,193
219,78,193
84,189,337
78,8,689
189,8,577
8,8,177
8,84,353
8,78,417
84,8,297
78,89,457
8,80,569
89,74,473
80,89,330
74,88,209
89,69,273
88,70,401
69,89,249
70,32,241
89,81,585
32,74,489
81,76,137
74,66,354
76,85,432
66,222,560
85,32,561
222,76,161
32,74,209
76,71,210
74,32,121
71,86,145
32,84,305
86,78,289
84,70,185
78,80,129
70,32,145
80,190,233
32,16,114
188,66,217
16,86,504
66,66,488
86,67,233
66,66,129
67,68,209
66,70,273
68,80,177
70,84,184
80,8,313
84,8,408
8,8,897
8,8,921
8,68,641
8,70,584
68,80,200
70,70,161
80,89,106
70,32,880
89,190,1064
32,69,433
190,73,289
69,68,282
73,70,609
68,68,450
70,74,185
68,68,177
74,78,129
68,67,202
78,81,330
67,84,360
81,76,545
84,32,554
76,70,225
32,75,128
70,70,138
75,88,160
70,70,320
88,89,304
70,67,162
89,32,321
67,190,321
32,16,113
188,66,929
16,85,984
66,8,144
85,82,410
8,75,401
82,74,157
75,68,105
74,16,95
68,32,209
16,32,1472
32,66,1561
32,66,298
66,87,146
66,70,264
87,82,176
70,66,186
82,65,231
66,66,137
65,72,233
66,78,193
72,82,129
78,84,201
82,75,225
84,222,193
75,8,601
222,8,593
8,75,562
8,186,745
75,32,497
186,74,209
32,71,81
74,32,561
71,190,593
32,66,335
190,67,353
66,67,217
67,66,305
67,86,345
66,74,273
86,82,201
74,32,329
82,86,337
32,66,264
86,32,656
66,190,497
32,69,97
190,89,729
69,89,777
89,70,185
89,76,145
70,80,193
76,74,201
80,67,121
74,32,184
67,75,3490
32,90,3562
75,75,233
90,68,194
75,70,249
68,75,145
70,85,177
75,80,305
85,74,281
80,68,121
74,32,166
68,76,193
32,74,144
76,85,168
74,32,313
85,57,376
32,50,345
57,57,448
50,49,697
57,32,880
49,74,432
32,71,144
74,32,305
71,57,528
32,49,338
57,48,354
49,49,465
48,32,433
49,67,280
32,13,544
67,190,42844
13,70,42747
190,68,449
70,78,113
68,67,145
78,84,233
67,79,225
84,8,376
79,8,705
8,8,473
8,8,177
8,8,177
8,8,170
8,70,737
8,68,704
70,78,129
68,67,97
78,84,233
67,80,217
84,188,169
80,74,193
188,32,145
74,74,88
32,85,153
74,74,209
85,82,105
74,67,137
82,84,281
67,88,305
84,66,248
88,89,202
66,219,185
89,84,165
219,78,112
84,32,121
78,74,88
32,85,169
74,74,226
85,82,193
74,67,225
82,67,377
67,69,329
67,16,313
69,72,161
72,32,369
16,90,200
32,66,121
90,89,187
66,84,185
89,75,170
84,84,129
75,76,88
84,78,157
76,74,201
78,85,121
85,32,155
74,74,184
32,85,185
74,74,249
85,82,217
74,67,204
82,72,160
67,70,137
72,86,201
70,70,250
86,16,233
70,67,105
67,32,265
16,86,208
32,84,281
86,75,265
84,84,153
75,78,153
84,66,152
78,76,129
66,74,152
76,68,105
74,74,137
68,82,145
74,69,201
82,72,289
69,32,569
72,75,425
32,83,121
75,188,161
83,32,161
188,70,153
32,76,129
70,74,129
76,85,193
74,32,201
85,51,1522
32,49,1433
51,57,369
49,49,489
57,8,329
49,81,834
8,32,1097
81,16,410
32,67,113
67,32,273
16,190,328
32,66,648
190,66,505
66,87,170
66,89,241
87,70,225
89,78,210
70,67,129
78,74,106
67,72,136
74,78,193
72,82,80
78,84,160
82,75,170
84,222,361
75,32,1465
222,81,1137
32,74,150
81,82,121
74,67,136
82,89,160
67,66,154
89,67,200
66,69,560
67,32,1161
69,78,792
32,82,161
78,84,249
82,74,176
84,72,161
74,71,120
72,32,600
71,75,576
32,83,105
75,188,242
83,32,409
188,81,345
32,72,161
81,78,418
72,74,440
78,188,121
74,70,97
188,72,153
70,32,144
72,81,121
32,74,113
81,89,185
74,86,210
89,74,217
86,75,137
74,71,88
75,66,184
71,76,265
66,16,97
76,8,329
16,16,449
8,71,369
71,32,329
16,190,640
32,84,897
190,79,481
84,66,513
79,75,473
66,66,185
75,88,201
66,69,288
88,32,738
69,84,522
32,74,137
84,82,111
74,67,90
82,84,194
67,88,305
84,66,185
88,89,161
66,219,225
89,84,213
219,78,222
84,16,594
78,32,777
16,84,256
32,74,265
84,82,225
74,67,217
82,68,193
67,74,209
68,82,177
74,67,145
82,74,144
67,86,209
74,16,137
86,32,297
16,84,272
32,74,226
84,82,585
74,67,865
82,74,697
67,78,498
74,70,209
78,72,609
70,84,546
72,71,185
84,86,273
71,66,313
86,16,145
66,32,345
16,75,224
32,66,161
75,88,193
66,89,201
88,74,313
89,82,249
74,74,257
82,32,2441
74,69,2304
32,8,129
69,83,641
8,76,937
83,74,465
76,85,377
74,32,425
85,48,401
32,49,201
48,57,2440
49,49,2761
57,32,864
49,16,569
32,68,96
68,13,2153
16,65,6743
13,222,4961
65,8,578
222,190,2537
8,86,2809
190,83,735
86,89,232
83,68,153
89,66,147
68,78,179
66,82,103
78,84,177
82,65,425
84,186,561
65,84,592
186,89,537
84,32,482
89,84,266
32,66,160
84,89,194
66,84,129
89,186,257
84,74,353
186,75,81
74,76,42
75,84,105
76,72,153
84,71,146
72,32,62
71,74,59
32,78,153
74,222,145
78,32,201
222,66,201
32,75,145
66,88,321
75,74,361
88,67,466
74,32,506
67,83,753
32,86,809
83,69,361
86,8,217
69,83,393
8,76,561
83,32,313
76,81,176
32,74,121
81,82,177
74,67,449
82,76,338
67,74,137
76,72,217
74,74,241
72,85,225
74,32,329
85,81,281
32,82,897
81,67,864
82,72,137
67,70,137
72,86,169
70,70,265
86,16,265
70,67,105
67,32,225
16,84,311
32,83,290
84,89,217
83,67,225
89,70,425
67,75,257
70,85,185
75,32,257
85,74,1417
32,82,1337
74,70,209
82,89,217
70,76,258
89,74,352
76,16,170
74,32,785
16,190,1000
32,8,772
190,190,890
8,66,1433
190,82,913
66,67,144
82,84,209
67,71,281
84,32,249
71,74,2568
32,75,2462
74,70,216
75,68,122
70,83,1081
68,86,1200
83,80,680
86,70,617
80,72,112
70,32,136
72,66,184
32,85,98
66,8,216
85,8,264
8,66,536
8,89,537
66,8,266
89,8,288
8,32,961
8,66,1024
32,8,378
66,82,538
8,75,433
82,74,169
75,16,162
74,68,72
68,32,345
16,84,208
32,66,113
84,89,168
66,84,121
89,88,176
84,84,465
88,78,338
84,32,112
78,83,128
32,188,90
83,74,145
188,78,200
74,88,81
78,32,113
88,190,169
32,16,58
188,16,178
16,8,946
16,32,1207
8,75,536
32,70,145
75,89,185
70,70,177
89,82,687
70,32,721
82,219,177
32,70,185
219,82,161
70,67,153
82,84,258
67,71,305
84,32,393
71,68,305
32,32,177
68,77,97
32,78,185
77,83,216
78,72,193
83,74,289
72,72,353
74,71,137
72,32,171
71,75,154
32,8,426
75,78,849
8,66,777
78,186,337
66,74,163
186,75,81
74,76,65
75,84,89
76,72,137
84,71,129
72,32,185
71,71,457
32,16,570
71,74,185
74,32,209
16,190,280
32,66,450
190,82,345
66,75,169
82,74,193
75,68,161
74,16,82
68,32,201
16,78,191
32,74,161
78,32,217
74,69,609
32,72,641
69,70,257
72,86,169
70,70,241
86,16,257
70,67,104
67,8,217
16,16,352
8,86,313
86,32,401
16,77,192
32,78,161
77,70,161
78,80,121
70,84,211
80,72,153
84,78,129
72,74,226
78,32,760
74,70,704
32,75,153
70,66,177
75,80,145
66,74,121
80,72,230
74,85,233
72,32,625
85,70,1369
32,82,953
70,84,273
82,68,328
84,91,521
68,91,834
91,32,535
91,16,344
32,88,257
88,88,97
88,91,377
16,8,400
91,8,216
8,8,200
8,32,689
8,16,801
32,88,200
88,88,96
88,32,1410
16,84,968
32,88,425
84,70,432
88,75,305
70,70,193
75,89,169
70,32,177
89,68,168
32,32,242
68,90,248
32,70,331
90,72,400
70,74,243
72,78,186
74,74,193
78,82,144
74,32,193
82,190,217
32,16,41
188,74,201
16,89,392
74,77,553
89,75,416
77,84,400
75,86,513
84,78,177
86,74,169
78,32,458
74,189,417
32,32,160
189,66,2697
32,86,2753
66,70,265
86,82,153
70,67,145
82,84,249
67,71,281
84,32,296
71,66,344
32,86,385
66,66,617
86,82,481
66,68,281
82,84,376
68,70,433
84,89,296
70,89,169
89,70,738
89,32,881
70,68,313
32,32,313
68,83,313
32,188,156
83,77,291
188,72,377
77,74,369
72,188,223
74,32,313
188,70,329
32,78,249
70,84,233
78,74,201
84,72,169
74,71,113
72,32,145
71,75,121
32,70,145
75,68,113
70,83,81
68,78,185
83,70,169
78,188,176
70,70,249
188,72,153
70,80,281
72,70,321
80,72,185
70,16,113
72,32,801
16,190,1167
32,188,1024
190,69,531
188,72,873
69,78,954
72,32,225
78,219,129
32,83,65
219,89,137
83,89,145
89,74,225
89,78,257
74,84,1392
78,188,1409
84,74,233
188,80,185
74,84,121
80,75,148
84,84,129
75,186,298
84,32,313
186,70,4860
32,8,4949
70,16,3377
8,67,3178
67,8,345
16,37,720
8,86,3489
37,84,3234
86,66,225
84,89,193
66,84,208
89,8,1241
84,8,1537
8,89,858
8,84,770
89,89,321
84,8,209
89,8,249
8,84,249
8,72,257
84,84,130
72,86,217
84,66,249
86,72,193
66,71,65
72,32,128
71,67,193
32,32,746
67,66,760
32,78,201
66,84,184
78,67,265
84,32,833
67,81,704
32,74,153
81,89,250
74,89,249
89,74,192
89,66,290
74,87,226
66,70,328
87,80,312
70,66,200
80,75,120
66,70,161
75,89,152
70,70,129
89,82,200
70,32,825
82,81,785
32,74,177
81,82,161
74,67,202
82,76,168
67,74,129
76,72,176
74,74,209
72,85,248
74,32,217
85,66,145
32,32,186
66,70,153
32,72,98
70,74,178
72,78,192
74,82,137
78,84,273
82,75,289
84,75,162
75,74,184
75,82,144
74,32,264
82,74,210
32,85,168
74,74,241
85,8,353
74,8,297
8,74,385
8,89,449
74,89,281
89,8,385
89,74,777
8,89,708
74,74,376
89,66,417
74,87,313
66,70,281
87,80,233
70,78,313
80,75,489
78,70,377
75,89,163
70,70,145
89,82,185
70,32,497
82,74,353
32,68,138
74,78,137
68,67,152
78,77,177
67,75,56
77,84,82
75,78,113
84,66,121
78,74,145
66,72,193
74,78,217
72,67,169
78,32,169
67,84,161
32,72,105
84,70,185
72,86,257
70,70,353
86,67,377
70,32,313
67,68,187
32,32,178
68,75,1065
32,70,1033
75,68,106
70,74,145
68,80,186
74,89,361
80,66,273
89,85,161
66,72,218
85,74,297
72,16,162
74,13,889
16,13,1271
13,190,1769
13,86,1776
190,74,561
86,89,241
74,74,290
89,78,473
74,84,353
78,188,209
84,8,313
188,68,474
8,74,444
68,80,145
74,84,239
80,75,217
84,84,183
75,186,77
84,32,169
186,67,153
32,32,177
67,84,177
32,78,129
84,74,249
78,188,209
74,70,145
188,72,217
70,32,233
72,70,145
32,89,73
70,32,169
89,90,250
32,67,81
90,190,201
67,69,713
190,73,593
69,68,440
73,70,569
68,68,1848
70,74,1817
68,72,208
74,66,216
72,80,177
66,66,185
80,75,185
66,70,194
75,66,1282
70,87,1395
66,84,520
87,71,464
84,67,328
71,32,736
67,190,712
32,16,137
188,69,1441
16,86,1679
69,72,673
86,66,589
72,8,305
66,8,793
8,8,688
8,86,1169
8,72,1169
86,74,210
72,65,185
74,32,169
65,190,121
32,74,289
190,68,281
74,67,173
68,32,609
67,75,545
32,70,209
75,76,202
70,80,201
76,74,257
80,67,103
74,32,553
67,84,634
32,76,177
84,85,937
76,32,1937
85,190,1184
32,16,146
188,69,1840
16,8,1951
69,87,969
8,72,729
87,70,113
72,86,193
70,8,313
86,70,993
8,70,1089
70,67,415
70,16,121
67,32,289
16,68,367
32,32,162
68,90,137
32,67,49
90,75,129
67,69,185
75,89,185
69,72,273
89,84,225
72,68,185
84,32,393
68,81,849
32,84,889
81,66,338
84,89,225
66,74,274
89,71,249
74,90,246
71,16,153
90,32,249
16,67,311
32,32,176
67,83,18999
32,89,18959
83,81,355
89,74,425
81,68,209
74,32,882
68,90,913
32,66,185
90,89,186
66,70,233
89,88,184
70,89,313
88,74,473
89,82,296
74,74,130
82,32,225
74,84,177
32,75,137
84,67,145
75,74,161
67,71,313
74,16,187
71,32,290
16,190,295
32,82,881
190,74,881
82,78,297
74,67,305
78,74,297
67,68,153
74,16,89
68,32,217
16,81,1376
32,66,1249
81,89,146
66,77,240
89,75,154
77,70,177
75,76,225
70,32,226
76,70,153
32,89,76
70,32,242
89,75,665
32,70,582
75,219,169
70,84,282
219,84,361
84,72,345
84,84,320
72,71,249
84,32,202
71,16,251
32,188,130
188,78,720
16,69,736
78,78,681
69,66,690
78,78,233
66,67,209
78,89,536
67,66,473
89,32,434
66,81,433
32,66,177
81,82,145
66,67,225
82,85,290
67,72,385
85,69,410
72,188,346
69,72,361
188,84,306
72,78,129
84,84,114
78,16,234
84,71,129
71,32,257
16,75,1055
32,66,945
75,88,258
66,89,305
88,74,289
89,82,162
74,74,146
82,32,402
74,69,433
32,76,201
69,74,178
76,8,233
74,76,489
8,85,521
76,32,312
85,48,329
32,48,281
48,57,601
48,49,857
57,32,713
49,68,393
32,32,289
68,190,425
32,16,202
188,82,657
16,66,855
82,89,369
66,70,313
89,219,217
70,84,177
219,86,249
84,189,737
86,72,993
189,84,505
72,89,161
84,84,241
89,186,193
84,89,201
186,16,330
89,66,185
66,13,569
16,90,1423
13,66,1097
90,65,210
66,70,184
65,72,161
70,85,161
72,74,233
85,66,241
74,188,473
66,16,321
188,13,2154
16,13,2561
13,190,7999
13,89,8168
190,70,785
89,68,162
70,74,74
68,72,161
74,66,185
72,78,409
66,66,385
78,75,201
66,66,145
75,188,210
66,70,169
188,84,217
70,72,201
84,32,122
72,66,202
32,66,210
66,68,138
66,78,185
68,67,249
78,76,378
67,84,314
76,75,162
84,67,145
75,74,252
67,71,218
74,68,224
71,32,768
68,190,729
32,16,169
188,66,73
16,66,208
66,89,258
66,84,186
89,88,257
84,190,281
88,75,362
190,82,282
75,70,241
82,80,167
70,32,513
80,68,541
32,32,281
68,90,242
32,67,57
90,75,122
67,70,177
75,88,225
