down,timedelta,up
57,1035832,84
16,1035871,68
32,1035807,16
50,1034439,32
16,1034343,8
191,1032951,8
85,1032800,32
85,1033023,8
32,1031711,8
53,1030782,8
52,1030673,8
57,1029945,8
49,1029193,8
189,1029656,32
49,1029455,83
52,1029633,89
57,1029610,81
49,1029079,74
32,1028064,68
84,1028088,32
89,1027969,82
81,1028208,66
74,1028048,89
68,1028152,78
8,1026833,67
70,1025216,70
32,1022437,88
81,1022534,69
8,1022296,32
85,1021904,189
74,1022671,32
89,1022768,48
89,1022767,16
84,1022880,70
68,1022894,76
78,1022926,74
67,1023263,85
84,1023335,32
88,1023679,48
84,1023600,57
78,1023465,57
74,1023408,49
16,1024152,32
32,1024070,70
81,1025280,78
74,1025289,72
82,1025352,70
66,1025176,86
75,1025190,32
84,1025336,50
68,1025175,50
16,1025559,32
32,1025513,189
68,1025865,32
32,1025921,70
81,1026098,76
84,1025426,74
66,1025417,85
89,1025944,32
70,1026401,48
86,1026360,49
72,1027152,57
84,1027474,49
85,1027953,32
16,1028665,90
32,1029209,72
76,1029314,188
89,1029145,90
32,1027825,78
69,1028352,89
76,1028168,84
84,1028127,67
188,1028183,32
74,1028509,221
71,1028647,16
32,1028584,49
70,1028647,50
8,1028623,219
8,1028633,16
8,1028921,32
8,1029745,56
74,1029865,57
71,1029984,16
32,1029217,32
70,1030304,89
80,1030296,66
50,1030145,85
16,1030082,69
32,1029153,75
77,1029295,90
75,1029423,16
70,1029707,16
76,1029672,32
8,1029321,88
70,1029267,66
84,1028680,68
86,1028705,74
32,1026785,72
189,1026793,66
13,1026113,86
52,1025769,66
48,1025440,76
16,1025361,70
70,1025210,75
76,1025009,68
74,1024865,16
85,1025080,32
32,1024960,75
50,1024944,84
52,1024495,68
57,1024425,70
49,1024384,71
32,1022656,16
90,1022607,8
72,1022975,70
8,1022408,16
74,-58680,16
188,-58896,57
70,-58727,32
82,-57223,16
84,-57510,50
76,-55511,191
32,-55479,85
50,-55030,85
50,-53791,32
32,-53446,53
78,-53456,52
74,-52809,57
32,-52176,49
72,-52591,189
67,-52495,49
67,-52352,52
67,-52169,57
16,-51651,49
32,-50800,32
70,-50672,84
78,-50598,89
84,-50560,81
68,-50480,74
74,-50543,68
67,-49240,8
16,-47630,70
32,-45350,32
74,-45199,81
85,-44559,8
74,-44422,85
89,-44398,74
68,-44335,89
74,-44446,89
219,-44542,84
72,-44638,68
84,-44565,78
68,-44719,67
16,-44695,84
32,-45295,88
70,-45152,84
86,-45087,78
69,-44921,16
66,-45399,74
76,-45112,32
66,-45248,81
80,-45343,74
84,-45590,82
72,-45568,66
71,-45536,75
16,-45503,84
32,-46415,16
80,-46566,68
70,-46399,32
82,-46392,68
69,-46441,32
57,-46689,81
16,-45976,84
32,-45856,66
50,-46736,89
16,-46777,70
8,-46993,86
16,-47305,72
32,-49384,84
70,-49360,16
76,-49577,85
70,-49528,32
72,-49536,76
85,-49656,89
89,-48344,32
66,-48359,69
75,-48311,76
70,-48231,84
78,-48160,188
67,-48037,74
16,-48320,71
32,-48063,32
69,-48063,70
89,-47911,8
74,-47799,8
72,-47815,8
74,-47879,8
188,-47294,74
74,-47609,71
