key,timedelta
222,127
222,88
222,96
222,49
222,94
222,87
222,89
222,103
222,96
221,112
221,55
220,39
220,55
220,81
219,89
219,104
219,87
219,90
219,151
219,153
219,63
219,104
219,65
219,72
219,80
219,89
219,80
219,64
219,95
219,144
219,80
191,80
191,57
191,128
191,160
191,86
191,140
191,96
191,72
191,153
191,154
191,64
191,96
191,54
191,119
191,129
191,145
191,139
191,96
191,72
191,56
191,112
191,143
191,94
191,129
191,72
191,111
191,136
191,112
191,87
191,128
191,113
191,126
191,45
191,47
191,70
191,103
191,109
191,45
191,95
191,65
191,78
191,95
191,103
191,86
191,144
190,71
190,80
190,72
190,54
190,56
190,87
190,81
190,56
190,73
190,120
190,88
190,96
190,103
189,45
189,94
189,110
189,72
189,89
188,105
188,96
188,104
188,81
188,87
188,89
188,119
188,80
188,96
188,96
188,79
188,86
188,88
188,64
188,96
188,111
188,103
188,120
188,120
188,105
188,96
188,110
188,106
188,96
188,135
187,97
186,111
186,115
186,137
186,104
186,112
186,128
186,80
186,88
186,88
186,80
186,23
186,120
186,105
186,109
186,81
186,120
123,80
109,72
105,88
105,112
104,63
104,56
104,65
104,80
104,96
104,88
104,159
104,89
103,88
103,93
103,75
103,96
101,103
100,73
100,97
100,80
99,106
98,120
97,88
97,88
97,105
97,88
97,119
97,64
97,89
96,64
96,135
96,120
92,72
90,81
90,73
90,80
90,72
90,81
90,80
90,88
90,80
90,71
90,153
90,88
90,80
90,65
90,88
90,103
90,88
90,83
90,96
90,176
90,80
90,94
90,88
90,72
89,63
89,56
89,64
89,72
89,97
89,87
89,56
89,80
89,56
89,71
89,80
89,87
89,96
89,90
89,103
89,95
89,64
89,72
89,65
89,64
89,72
89,79
89,81
89,58
89,79
89,79
89,88
89,80
89,57
89,80
89,81
89,97
89,90
89,88
89,71
89,103
89,82
89,89
89,71
89,62
89,79
89,88
89,56
89,79
89,72
89,32
89,103
89,111
89,96
89,80
89,73
89,65
89,81
89,31
89,96
89,72
89,63
89,87
89,95
89,79
89,65
89,39
89,79
89,72
89,89
89,80
89,80
89,64
89,87
89,70
89,56
89,104
89,90
89,106
89,77
89,112
89,86
89,81
89,80
89,71
89,80
89,71
89,97
89,111
89,72
89,71
89,96
89,95
89,104
89,88
89,64
89,79
89,71
89,96
89,79
89,48
89,64
89,64
89,81
89,111
89,64
89,104
89,87
89,65
89,80
89,116
89,64
89,64
89,87
89,97
89,55
89,62
89,80
89,47
89,79
89,48
89,99
89,70
89,80
89,89
89,56
88,79
88,80
88,96
88,88
88,86
88,63
88,87
88,64
88,88
88,64
88,105
88,73
88,70
88,78
88,89
88,63
88,79
88,56
88,105
87,95
87,65
87,86
87,79
87,72
87,88
87,98
87,112
87,79
87,63
87,86
87,96
87,110
87,151
87,131
87,95
87,80
87,96
87,121
86,73
86,63
86,40
86,79
86,56
86,56
86,48
86,63
86,88
86,56
86,56
86,61
86,46
86,86
86,80
86,80
86,63
86,48
86,88
86,80
86,63
86,54
86,47
86,78
86,80
86,72
86,74
86,56
86,80
86,25
86,71
86,64
86,88
86,74
86,41
86,56
86,63
85,80
85,96
85,87
85,80
85,120
85,89
85,79
85,72
85,112
85,95
85,64
85,81
85,111
85,72
85,55
85,31
85,64
85,79
85,72
85,72
85,64
85,96
85,94
85,63
85,113
85,24
85,47
85,72
85,56
84,40
84,48
84,73
84,48
84,88
84,64
84,80
84,79
84,64
84,88
84,89
84,71
84,64
84,79
84,40
84,80
84,71
84,57
84,40
84,33
84,80
84,89
84,69
84,80
84,103
84,80
84,73
84,88
84,79
84,64
84,48
84,81
84,80
84,65
84,88
84,89
84,65
84,72
84,79
84,88
84,72
84,63
84,72
84,72
84,55
84,63
84,65
84,72
84,63
84,78
84,80
84,72
84,54
84,88
84,60
84,81
84,72
84,63
84,80
84,95
84,79
84,55
84,71
84,80
84,79
84,48
84,104
84,80
84,55
84,41
84,58
84,80
84,55
84,112
84,55
84,95
84,55
84,80
84,89
84,63
84,71
84,79
84,96
84,88
84,96
84,71
84,89
84,80
84,80
84,95
84,65
84,73
84,102
84,80
84,66
84,62
84,73
84,55
84,55
84,80
84,83
84,79
84,40
84,72
84,94
84,62
84,72
84,47
84,72
84,67
84,64
84,59
84,80
84,80
84,73
84,72
84,88
84,89
84,81
84,70
84,80
84,64
84,81
84,88
84,64
84,73
84,72
84,70
84,80
84,71
84,78
84,88
84,64
84,65
84,63
84,72
84,63
84,73
84,72
84,57
83,72
83,80
83,64
83,55
83,56
83,104
83,87
83,63
83,71
83,93
83,80
83,89
83,88
83,90
83,87
83,79
83,103
83,62
83,56
83,64
83,87
83,74
83,68
83,104
83,71
83,96
83,73
83,94
82,71
82,78
82,55
82,65
82,71
82,64
82,73
82,103
82,65
82,105
82,65
82,63
82,55
82,97
82,62
82,64
82,79
82,72
82,64
82,58
82,71
82,40
82,80
82,80
82,64
82,73
82,72
82,64
82,88
82,71
82,69
82,73
82,81
82,89
82,48
82,70
82,88
82,72
82,59
82,63
82,64
82,63
82,71
82,80
82,78
82,63
82,64
82,86
82,63
82,73
82,81
82,56
82,80
82,72
82,95
82,112
82,97
82,49
82,71
82,56
82,55
82,72
82,72
82,64
82,65
82,71
82,63
82,48
82,66
82,54
82,71
82,72
82,70
82,78
81,95
81,81
81,79
81,104
81,72
81,71
81,55
81,96
81,88
81,104
81,87
81,69
81,80
81,80
81,48
81,80
81,62
81,87
81,126
81,112
81,79
81,88
81,54
81,113
81,65
81,87
81,57
81,47
81,103
81,65
81,85
81,56
81,89
81,71
81,64
80,144
80,111
80,120
80,143
80,120
80,119
80,136
80,127
80,112
80,121
80,70
80,136
80,137
80,88
80,104
80,51
80,89
80,157
80,152
80,144
80,110
80,87
80,48
80,112
80,135
80,88
80,134
80,104
80,113
80,104
80,120
80,96
80,128
80,40
80,88
80,78
80,95
79,88
79,33
79,95
79,64
79,88
78,111
78,54
78,104
78,56
78,73
78,112
78,55
78,78
78,89
78,64
78,177
78,96
78,72
78,63
78,80
78,104
78,80
78,79
78,48
78,90
78,111
78,131
78,112
78,65
78,111
78,103
78,47
78,55
78,80
78,80
78,73
78,113
78,86
78,68
78,80
78,80
78,81
78,80
78,96
78,64
78,95
78,103
78,87
78,81
78,128
78,64
78,96
78,71
78,90
78,127
78,112
78,119
78,79
78,81
78,79
78,71
78,114
78,106
78,89
78,96
78,55
78,78
78,80
78,83
78,79
78,88
78,62
78,97
78,104
78,105
78,105
78,24
78,61
78,104
78,88
78,95
78,55
78,98
78,72
78,64
78,72
78,94
78,73
78,56
78,72
78,80
78,96
78,127
78,127
78,98
78,72
78,120
78,87
78,78
78,72
78,117
78,112
78,88
78,54
77,128
77,120
77,128
77,104
77,120
77,126
77,121
77,73
77,129
77,110
77,96
77,120
77,160
77,96
77,135
77,79
77,47
77,71
77,120
77,168
77,144
77,103
77,150
77,72
77,104
77,120
76,105
76,87
76,119
76,120
76,169
76,129
76,104
76,71
76,81
76,96
76,88
76,87
76,113
76,112
76,111
76,111
76,97
76,104
76,79
76,72
76,56
76,88
76,63
76,120
76,112
76,109
76,80
76,113
76,142
76,127
76,88
76,56
76,110
76,104
76,45
76,95
76,137
76,73
76,103
76,79
76,96
76,110
76,152
76,105
76,121
76,105
76,103
76,112
76,128
76,126
76,104
75,120
75,112
75,112
75,185
75,175
75,121
75,96
75,128
75,56
75,56
75,80
75,48
75,112
75,80
75,128
75,55
75,57
75,96
75,111
75,159
75,144
75,88
75,127
75,72
75,81
75,63
75,79
75,120
75,103
75,80
75,72
75,62
75,56
75,72
75,105
75,89
75,160
75,110
75,80
75,71
75,80
75,48
75,50
75,48
75,72
75,86
75,56
75,81
75,48
75,42
75,53
75,73
75,167
75,191
75,199
75,119
75,49
75,47
75,104
75,53
75,89
75,95
75,104
75,88
75,104
75,112
75,118
75,65
75,105
75,192
75,88
75,129
75,79
75,176
75,128
75,48
75,122
75,160
75,168
75,182
74,103
74,104
74,88
74,113
74,119
74,71
74,95
74,79
74,105
74,96
74,135
74,120
74,123
74,104
74,97
74,112
74,72
74,80
74,142
74,135
74,79
74,96
74,128
74,111
74,88
74,89
74,136
74,97
74,57
74,78
74,97
74,104
74,95
74,103
74,96
74,86
74,103
74,56
74,176
74,71
74,127
74,40
74,57
74,135
74,120
74,95
74,80
74,94
74,46
74,120
74,103
74,103
74,78
74,71
74,77
74,63
74,112
74,72
74,73
74,57
74,106
74,89
74,88
74,63
74,56
74,72
74,104
74,64
74,87
74,47
74,55
74,79
74,72
74,103
74,47
74,63
74,199
74,72
74,127
74,72
74,87
74,80
74,80
74,196
74,72
74,56
74,125
74,112
74,145
74,71
74,73
74,48
74,82
74,81
74,95
74,55
74,55
74,145
74,102
74,87
74,61
74,55
74,81
74,72
74,32
74,97
74,78
74,79
74,93
74,72
74,94
74,73
74,87
74,88
74,92
74,71
74,71
74,72
74,65
74,71
74,96
74,95
74,80
74,112
74,63
74,152
74,72
74,144
74,104
74,105
74,87
74,129
74,112
74,87
74,129
74,72
74,128
74,56
74,73
74,72
74,128
74,99
74,127
74,88
74,126
74,49
74,112
74,121
74,72
74,121
74,64
74,79
74,80
74,72
74,72
74,121
74,71
74,63
74,128
74,101
74,111
74,135
74,97
74,111
74,185
74,103
74,110
74,78
74,80
74,62
74,71
74,127
74,95
74,89
74,88
74,80
74,112
74,119
74,90
74,96
74,64
74,73
74,103
74,80
74,134
74,112
74,73
74,161
74,88
74,85
74,71
74,72
74,138
74,73
74,58
74,57
74,152
74,88
73,89
73,79
73,86
73,88
73,99
73,55
73,96
73,88
73,81
73,63
73,127
73,64
73,112
73,56
73,104
73,72
72,63
72,81
72,63
72,95
72,80
72,72
72,87
72,112
72,72
72,96
72,96
72,96
72,47
72,36
72,72
72,73
72,72
72,88
72,72
72,56
72,80
72,72
72,88
72,71
72,87
72,48
72,71
72,88
72,56
72,64
72,73
72,63
72,72
72,95
72,49
72,56
72,63
72,88
72,112
72,88
72,39
72,69
72,104
72,80
72,72
72,80
72,56
72,112
72,54
72,71
72,96
72,79
72,88
72,71
72,80
72,69
72,64
72,75
72,70
72,63
72,87
72,78
72,96
72,72
72,89
72,33
72,88
72,112
72,80
72,72
72,79
72,64
72,73
72,72
72,89
72,88
72,72
72,79
72,81
72,96
72,79
72,80
72,95
72,79
72,70
72,121
72,104
72,72
72,80
72,77
72,79
72,80
72,80
72,88
72,71
72,79
72,64
72,71
72,97
72,87
72,57
72,96
72,90
72,77
72,56
72,81
71,56
71,63
71,63
71,80
71,97
71,73
71,80
71,55
71,72
71,63
71,113
71,67
71,77
71,63
71,55
71,80
71,56
71,72
71,64
71,64
71,72
71,49
71,82
71,72
71,65
71,72
71,72
71,64
71,72
71,64
71,65
71,55
71,55
71,136
71,39
71,63
71,63
71,72
71,93
71,55
71,94
71,80
71,55
71,70
71,79
71,48
71,62
71,103
71,47
71,47
71,72
71,80
71,63
71,87
71,62
71,63
71,62
71,63
71,72
71,63
70,72
70,64
70,96
70,80
70,71
70,56
70,62
70,71
70,71
70,103
70,48
70,112
70,113
70,120
70,160
70,39
70,47
70,64
70,65
70,112
70,98
70,56
70,111
70,73
70,72
70,71
70,119
70,88
70,87
70,105
70,88
70,88
70,71
70,72
70,80
70,64
70,71
70,97
70,105
70,89
70,103
70,128
70,104
70,87
70,96
70,96
70,121
70,63
70,96
70,96
70,95
70,86
70,168
70,87
70,64
70,80
70,63
70,104
70,120
70,72
70,88
70,95
70,55
70,79
70,72
70,113
70,63
70,64
70,64
70,119
70,62
70,88
70,80
70,132
70,64
70,53
70,48
70,24
70,81
70,112
70,88
70,64
70,80
70,73
70,70
70,71
70,47
70,72
70,97
70,71
70,103
70,70
70,74
70,78
70,114
70,64
70,71
70,88
70,78
70,64
70,64
70,47
70,96
70,95
70,143
70,129
70,80
70,78
70,86
70,96
70,55
70,120
70,103
70,61
70,96
70,64
70,63
70,56
70,95
70,79
70,63
70,56
70,93
70,63
70,88
70,72
70,56
70,72
70,96
70,88
70,79
70,72
70,64
70,88
70,86
70,72
70,121
70,70
70,87
70,95
70,81
70,89
70,111
70,88
70,103
70,57
70,80
70,72
70,89
70,55
70,56
70,104
