up,down,timedelta
66,78,127
72,66,86
8,72,698
74,8,376
70,74,51
68,70,66
76,68,98
84,76,215
72,84,60
71,72,81
32,71,864
74,32,-42
32,74,51
77,32,-32
78,77,77
66,78,82
72,66,72
74,72,82
68,74,36
74,68,409
8,74,668
8,8,84
8,8,76
8,8,75
8,8,81
8,8,61
8,8,68
8,8,76
8,8,60
32,8,238
77,32,539
66,77,260
72,66,63
74,72,77
68,74,45
187,68,59
70,187,233
74,70,452
85,74,152
74,85,88
71,74,9
32,71,83
74,32,-5
76,74,102
70,76,133
89,70,30
32,89,50
77,32,-28
72,77,80
84,72,11
71,84,77
84,71,71
78,84,125
16,78,-65
188,16,2858
8,188,259
32,8,4807
191,32,126
84,191,137
222,84,170
69,222,293
219,69,240
32,219,240
90,32,30
67,90,27
77,67,172
78,77,65
66,78,83
222,66,224
74,222,321
75,74,52
32,75,143
78,32,-36
84,78,35
76,84,74
69,76,27
190,69,16
32,190,206
70,32,67
82,70,53
67,82,85
70,67,115
72,70,54
82,72,159
32,82,556
86,32,24
74,86,135
80,74,164
70,80,120
72,70,59
188,72,179
74,188,341
32,74,98
86,32,42
66,86,114
82,66,50
70,82,287
78,70,40
32,78,177
66,32,22
32,66,134
90,32,218
70,90,208
78,70,51
67,78,46
66,67,69
72,66,75
74,72,85
71,74,105
32,71,16
84,32,55
84,84,62
75,84,46
74,75,72
188,74,214
8,188,1278
8,8,79
8,8,65
8,8,0
8,8,0
8,8,67
32,8,291
84,32,81
84,84,74
75,84,-4
74,75,92
190,74,271
32,190,230
70,32,0
89,70,-10
74,89,102
32,74,51
74,32,-54
78,74,-49
32,78,60
191,32,84
16,191,-74
8,16,180
32,8,254
70,32,33
89,70,62
67,89,353
74,67,57
67,74,16
32,67,174
74,32,-64
78,74,-54
222,78,206
32,222,431
84,32,54
222,84,111
32,222,471
66,32,44
75,66,122
67,75,102
84,67,138
16,84,-22
32,16,42
191,32,96
86,191,76
84,86,211
74,84,84
75,74,108
67,75,115
32,67,364
86,32,66
83,86,200
89,83,161
88,89,85
74,88,179
67,74,40
70,67,148
72,70,45
82,72,79
32,82,35
90,32,11
66,90,151
78,66,222
83,78,85
72,83,88
82,72,170
74,82,419
71,74,56
8,71,460
8,8,82
8,8,71
8,8,68
8,8,67
8,8,71
77,8,507
78,77,74
66,78,66
8,66,50
78,8,257
222,78,153
74,222,578
75,74,79
32,75,114
77,32,-42
78,77,74
67,78,278
74,67,46
89,74,75
8,89,398
8,8,61
8,8,64
74,8,292
89,74,94
8,89,206
74,8,227
75,74,110
188,75,165
74,188,220
67,74,23
74,67,634
8,74,191
72,8,399
71,72,66
67,71,142
32,67,1417
70,32,43
89,70,37
32,89,100
78,32,-28
84,78,25
90,84,184
66,90,60
75,66,162
68,75,134
32,68,122
74,32,-42
89,74,110
89,89,59
84,89,44
68,84,124
78,68,79
67,78,48
